2026-05-02,20:52:11,SPY,vwap_rsi_ema,5m,BLOCKED,"","",720.00,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:11,QQQ,vwap_rsi_ema,5m,BLOCKED,"","",673.55,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:11,IWM,vwap_rsi_ema,5m,BLOCKED,"","",278.88,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:12,DIA,vwap_rsi_ema,5m,BLOCKED,"","",494.49,"","","",Failed: Market bias
2026-05-02,20:52:12,AAPL,vwap_rsi_ema,5m,BLOCKED,"","",280.07,"","","",Failed: Market bias
2026-05-02,20:52:12,MSFT,vwap_rsi_ema,5m,BLOCKED,"","",413.24,"","","",Failed: Market bias
2026-05-02,20:52:12,NVDA,vwap_rsi_ema,5m,BLOCKED,"","",198.12,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:13,AMZN,vwap_rsi_ema,5m,BLOCKED,"","",267.55,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:13,GOOGL,vwap_rsi_ema,5m,BLOCKED,"","",385.34,"","","",Failed: RSI(3) below 30 (snap-back setup in uptrend)
2026-05-02,20:52:13,META,vwap_rsi_ema,5m,BLOCKED,"","",608.80,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:14,TSLA,vwap_rsi_ema,5m,BLOCKED,"","",391.34,"","","",Failed: Market bias
2026-05-02,20:52:14,AMD,vwap_rsi_ema,5m,BLOCKED,"","",361.85,"","","",Failed: RSI(3) below 30 (snap-back setup in uptrend)
2026-05-02,20:52:14,NFLX,vwap_rsi_ema,5m,BLOCKED,"","",91.95,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:15,COIN,vwap_rsi_ema,5m,BLOCKED,"","",193.50,"","","",Failed: RSI(3) below 30 (snap-back setup in uptrend)
2026-05-02,20:52:15,AVGO,vwap_rsi_ema,5m,BLOCKED,"","",420.27,"","","",Failed: RSI(3) above 70 (reversal setup in downtrend)
2026-05-02,20:52:42,NVDA,abcd_aziz,5m,BLOCKED,"","",198.12,"","","",Failed: Market bias
2026-05-02,20:52:42,AMD,abcd_aziz,5m,BLOCKED,"","",361.85,"","","",Failed: Market bias
2026-05-02,20:52:43,TSLA,abcd_aziz,5m,BLOCKED,"","",391.34,"","","",Failed: Market bias
2026-05-02,20:52:43,COIN,abcd_aziz,5m,BLOCKED,"","",193.50,"","","",Failed: Market bias
2026-05-02,20:52:43,AAPL,abcd_aziz,5m,BLOCKED,"","",280.07,"","","",Failed: Market bias
2026-05-02,20:52:43,MSFT,abcd_aziz,5m,BLOCKED,"","",413.24,"","","",Failed: Market bias
2026-05-02,20:52:44,AMZN,abcd_aziz,5m,BLOCKED,"","",267.55,"","","",Failed: Market bias
2026-05-02,20:52:44,META,abcd_aziz,5m,BLOCKED,"","",608.80,"","","",Failed: Market bias
2026-05-02,20:52:44,NFLX,abcd_aziz,5m,BLOCKED,"","",91.95,"","","",Failed: Market bias
2026-05-02,20:52:44,AVGO,abcd_aziz,5m,BLOCKED,"","",420.27,"","","",Failed: Market bias
2026-05-02,20:52:45,PLTR,abcd_aziz,5m,BLOCKED,"","",144.41,"","","",Failed: Market bias
2026-05-02,20:52:45,SHOP,abcd_aziz,5m,BLOCKED,"","",127.64,"","","",Failed: Market bias
2026-05-02,20:52:45,CRM,abcd_aziz,5m,BLOCKED,"","",183.80,"","","",Failed: Market bias
2026-05-02,20:52:45,ADBE,abcd_aziz,5m,BLOCKED,"","",251.00,"","","",Failed: Market bias
2026-05-02,20:52:46,MSTR,abcd_aziz,5m,BLOCKED,"","",176.59,"","","",Failed: Market bias
2026-05-02,20:52:46,MARA,abcd_aziz,5m,BLOCKED,"","",11.46,"","","",Failed: Market bias
2026-05-02,20:52:46,AFRM,abcd_aziz,5m,BLOCKED,"","",67.30,"","","",Failed: Market bias
2026-05-02,20:52:46,SNOW,abcd_aziz,5m,BLOCKED,"","",141.02,"","","",Failed: Market bias
2026-05-02,20:52:47,PLTR,bull_flag_qullamaggie,1D,BLOCKED,"","",144.07,"","","",Failed: Stage 2 — price > rising 50/150/200 SMAs; Prior 60-bar move ≥ 30.0%; ADR(20) ≥ 5.0%; Today closes above consolidation high; Breakout volume ≥ 1.5× avg
2026-05-02,20:52:47,APP,bull_flag_qullamaggie,1D,BLOCKED,"","",460.00,"","","",Failed: Stage 2 — price > rising 50/150/200 SMAs; Today closes above consolidation high; Breakout volume ≥ 1.5× avg
2026-05-02,20:52:47,SOFI,bull_flag_qullamaggie,1D,BLOCKED,"","",16.43,"","","",Failed: Stage 2 — price > rising 50/150/200 SMAs; Prior 60-bar move ≥ 30.0%; Tight 7-bar consolidation (range ≤ 12.0%); ADR(20) ≥ 5.0%; Today closes above consolidation high; Breakout volume ≥ 1.5× avg
2026-05-02,20:52:48,HOOD,bull_flag_qullamaggie,1D,BLOCKED,"","",73.66,"","","",Failed: Stage 2 — price > rising 50/150/200 SMAs; Tight 7-bar consolidation (range ≤ 12.0%); ADR(20) ≥ 5.0%; Today closes above consolidation high; Breakout volume ≥ 1.5× avg
